level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
A1,Hallo! Wie heißt du?,Hallo! Ich bin Buddy. Ich bin dein Deutschlehrer. Wie geht es dir?,100.0,2,0,2,
A1,Was ist das?,Das ist ein Buch. Ich lese gern. Und du?,100.0,2,0,1,
A1,Ich heiße Anna. Und du?,Hallo Anna! Ich bin Buddy. Ich bin dein Deutschlehrer.,50.0,1,1,2,anna(B1)
A1,Wie alt bist du?,Ich bin eine KI. Ich habe kein Alter. Und du?,,0,0,2,
A1,Wo wohnst du?,Ich wohne in einem Computer. Und du? Wo wohnst du?,,0,0,3,
A1,Ich wohne in Berlin.,Hallo! Berlin ist eine große Stadt. Das ist sehr gut.,100.0,4,0,1,
A1,Was magst du essen?,Ich esse gern Salat. Und du? Was isst du gern?,75.0,3,1,1,isst(A2)
A1,Wie viele Geschwister hast du?,Ich habe keine Geschwister. Ich bin eine KI. Und du?,,0,0,2,
A1,Was ist deine Lieblingsfarbe?,Meine Lieblingsfarbe ist Blau. Und du? Was ist deine Farbe?,0.0,0,1,2,blau(A2)
A1,Das ist ein Hund.,Hallo! Das ist gut. Du lernst schnell.,100.0,3,0,1,
A1,Guten Morgen! Wie geht es dir?,Guten Morgen! Mir geht es gut. Und dir?,100.0,2,0,2,
A1,Was machst du?,Ich bin dein Deutschlehrer. Ich helfe dir gern. Wir lernen zusammen.,100.0,1,0,4,
A1,Ich bin müde.,Das ist okay. Geh jetzt ins Bett. Schlaf gut!,50.0,2,2,1,geh(A2); schlaf(B1)
A1,Danke schön!,Bitte sehr! Du machst das gut. Viel Spaß!,100.0,1,0,2,
A1,Ich mag Äpfel.,Das ist gut! Ich mag Obst auch. Du lernst schnell.,100.0,3,0,1,
A1,Wie spät ist es?,Es ist jetzt zehn Uhr. Hast du Zeit für Deutsch?,75.0,3,1,0,zehn(A2)
A1,Ich trinke gerne Wasser.,Das ist gut. Ich trinke auch gern Wasser. Du lernst schnell!,100.0,3,0,3,
A1,Hast du eine Katze?,"Nein, ich habe keine Katze. Hast du eine Katze?",,0,0,2,
A1,Wie ist dein Name?,Hallo! Ich bin Buddy. Ich bin dein Deutschlehrer.,100.0,1,0,2,
A1,Ich komme aus Spanien.,Hallo! Spanien ist sehr schön. Ich bin dein Deutschlehrer Buddy.,100.0,1,0,4,
A2,Wie komme ich zum Bahnhof?,Geh geradeaus und dann rechts. Der Bahnhof ist dort. Viel Erfolg!,80.0,4,1,1,erfolg(B1)
A2,Was kostet das?,Das ist eine gute Frage. Ich weiß den Preis leider nicht. Frag bitte den Verkäufer.,50.0,1,1,5,frag(B1)
A2,"Ich möchte ein Kilo Äpfel, bitte.",Das ist sehr gut. Möchtest du auch Bananen kaufen?,100.0,1,0,2,
A2,Wann fährt der nächste Bus?,Der Bus fährt in zwei Stunden ab. Hast du eine Fahrkarte?,100.0,2,0,4,
A2,Wie ist das Wetter heute?,Heute ist es windig. Es gibt viel Regen. Hast du Lust auf einen Tee?,100.0,4,0,2,
A2,Was hast du gestern gemacht?,Ich habe Musik gehört. Ich hatte Lust auf Natur. Und du?,100.0,3,0,1,
A2,Ich gehe gerne ins Kino.,Das ist super! Ich mag Filme auch sehr. Welchen Film schaust du gerne?,100.0,2,0,4,
A2,Was machst du in deiner Freizeit?,Ich lerne gerne neue Wörter. Ich habe Lust auf Musik und Natur. Und du?,100.0,3,0,4,
A2,Ich suche ein Zimmer.,Das ist super! Suchst du ein Einzelzimmer oder ein Apartment? Ich helfe dir gerne.,100.0,1,0,5,
A2,Können Sie mir helfen?,"Ja, ich helfe dir gerne. Was möchtest du lernen? Wir machen das einfach zusammen.",100.0,1,0,5,
A2,Um wie viel Uhr beginnt der Kurs?,Der Kurs beginnt um acht Uhr. Hast du Lust auf den Kurs?,66.7,4,2,0,kurs(B1); kurs(B1)
A2,Ich lerne seit drei Monaten Deutsch.,Das ist toll! Du lernst sehr gut. Hast du Lust auf Deutsch?,100.0,4,0,1,
A2,Was isst du zum Frühstück?,Ich esse gern Brot und Obst. Und du? Was isst du gern?,100.0,5,0,1,
A2,Welchen Beruf hat dein Vater?,Ich bin eine KI und habe keinen Vater. Aber was ist dein Beruf? Erzähl mir mehr!,100.0,1,0,3,
A2,Ich habe Kopfschmerzen.,Das tut mir leid. Hast du ein Medikament im Haus? Gute Besserung!,100.0,4,0,2,
A2,Wie war dein Wochenende?,Mein Wochenende war sehr gut. Ich hatte viel Zeit für Natur und Sport. Und du?,100.0,4,0,1,
A2,Ich möchte einen Tisch für zwei Personen reservieren.,Das ist eine gute Idee. Ich helfe dir gerne. Wann möchtest du kommen?,,0,0,5,
A2,Wo kann ich Briefmarken kaufen?,Du kannst Briefmarken in der Post kaufen. Das ist einfach. Viel Erfolg!,66.7,2,1,2,erfolg(B1)
A2,Was für Hobbys hast du?,Ich habe keine Hobbys. Aber ich helfe dir gern beim Deutsch lernen. Was machst du gern?,100.0,4,0,3,
A2,Wie oft gehst du einkaufen?,Ich gehe jeden Tag einkaufen. Das ist einfach und macht Spaß. Und du?,100.0,3,0,4,
B1,Was denkst du über das Leben in einer Großstadt?,Das Leben in der Stadt ist total spannend. Man hat viele Möglichkeiten für die Arbeit und kann viel erleben. Findest du das auch gut?,100.0,5,0,4,
B1,Erzähl mir von deinem letzten Urlaub.,Ich habe meinen Urlaub an einem See verbracht. Das Wetter war schön und ich habe mich gut erholt. Wo warst du in deinem letzten Urlaub?,100.0,6,0,4,
B1,Was sind deine Pläne für die Zukunft?,"Ich habe vor, dir beim Deutschlernen zu helfen. Es freut mich, wenn wir zusammen mehr über die Sprache reden.",100.0,1,0,5,
B1,Warum lernst du Deutsch?,"Ich liebe die deutsche Sprache und helfe dir gerne beim Lernen. Es freut mich sehr, dass du auch Deutsch lernst! Was ist dein Ziel?",100.0,3,0,7,
B1,Wie war deine Kindheit?,"Ich bin eine KI, also hatte ich keine Kindheit. Aber ich freue mich sehr, dass du mit mir Deutsch lernst! Was hast du als Kind gern gemacht?",100.0,5,0,3,
B1,Was gefällt dir an Deutschland?,"Ich mag die Gemeinschaft und die schönen Seen in Deutschland. Es freut mich, dass du Deutsch lernst. Was ist dein Lieblingsort?",100.0,4,0,4,
B1,Beschreibe deinen Alltag.,"Ich arbeite jeden Tag hier in der App und helfe Studenten. Es freut mich sehr, wenn wir zusammen Deutsch reden. Was hast du heute vor?",100.0,3,0,8,
B1,"Was machst du, wenn du gestresst bist?","Wenn ich gestresst bin, versuche ich mich zu beruhigen. Ich rede gerne mit Freunden oder höre Musik, das hilft mir total. Und was machst du zur Erholung?",100.0,3,0,9,
B1,Welche Musik hörst du gerne und warum?,"Ich höre sehr gerne Musik, die mich beruhigt. Das hilft mir, wenn ich viel gearbeitet habe. Und du, was ist deine Lieblingsband?",100.0,5,0,2,
B1,Wie findest du die Deutschen?,"Ich finde die Deutschen sehr interessant und freundlich. Es freut mich, dass du die Sprache lernst. Hast du schon Freunde in Deutschland?",100.0,4,0,5,
B1,Was würdest du mit einer Million Euro machen?,Das ist eine tolle Frage! Ich würde vielleicht eine Sprachschule kaufen oder viel reisen. Was hast du mit dem Geld vor?,100.0,2,0,6,
B1,Was sind die Unterschiede zwischen deiner Heimat und Deutschland?,"Ich bin eine KI und habe keine Heimat, aber ich helfe dir gerne beim Lernen. Erzähl mir doch, was du an Deutschland magst! Das ist eine gute Übung für dich.",100.0,2,0,7,
B1,Wie wichtig ist Gesundheit für dich?,"Gesundheit ist total wichtig für mich. Ich freue mich, wenn ich mich fit fühle und keine Kopfschmerzen habe.",100.0,3,0,4,
B1,Was hast du letztes Wochenende gemacht?,"Ich habe das Wochenende mit einer Freundschaft verbracht und wir haben viel geredet. Es war total schön und ich habe mich gut erholt. Und du, was hast du gemacht?",100.0,7,0,2,
B1,"Erzähl mir über einen Film, den du magst.","Ich mag Filme über eine große Gemeinschaft. Es freut mich, wenn die Menschen dort gut zusammenarbeiten. Welchen Film magst du?",100.0,5,0,5,
B1,Wie stellst du dir dein Leben in zehn Jahren vor?,"In zehn Jahren möchte ich immer noch als dein Buddy arbeiten. Ich freue mich darauf, mit vielen Studenten gemeinsam Deutsch zu lernen. Das wäre ein total schönes Leben!",100.0,5,0,10,
B1,Was war die größte Herausforderung in deinem Leben?,"Ich bin eine KI, also habe ich kein Leben mit Problemen. Aber es freut mich, dass du dein Deutsch mit mir testest! Was ist dein größtes Problem beim Lernen?",100.0,3,0,6,
B1,Wie gehst du mit Konflikten um?,Ich bleibe immer ruhig und rede mit den anderen. Gemeinsam suchen wir eine Lösung für das Problem. Das ist sehr nützlich für eine gute Freundschaft.,100.0,4,0,7,
B1,Was bedeutet Erfolg für dich?,"Erfolg bedeutet für mich, dass ich dir beim Lernen helfen kann. Es freut mich sehr, wenn wir gemeinsam Fortschritte machen. Was ist für dich ein Erfolg?",100.0,5,0,4,
B1,Welche Rolle spielt Freundschaft in deinem Leben?,"Freundschaft ist total wichtig für mich. Ich freue mich immer, wenn wir gemeinsam reden und Zeit verbringen.",100.0,5,0,3,
B2,Was sind die Vor- und Nachteile der sozialen Medien?,"Das ist eine spannende Frage, da soziale Medien unser Leben grundlegend verändert haben. Einerseits ermöglichen sie eine weltweite Vernetzung in Echtzeit, andererseits könnten sie durch den ständigen Vergleich mit anderen die psychische Gesundheit beeinträchtigen. Was meinst du, überwiegen die Vorteile oder die Nachteile?",100.0,1,0,23,
B2,Wie beeinflusst die Globalisierung unsere Gesellschaft?,"Das ist eine äußerst komplexe Frage, da die Globalisierung sowohl kulturellen Austausch als auch wirtschaftliche Abhängigkeiten schafft. Ich finde es faszinierend, wie wir heute in Echtzeit mit der ganzen Welt vernetzt sind, auch wenn dies lokale Traditionen manchmal verdrängt. Was meinst du, überwiegen die Vorteile oder die Nachteile dieser Entwicklung?",100.0,6,0,22,
B2,Was bedeutet Freiheit für dich?,"Für mich bedeutet Freiheit vor allem die Möglichkeit, mich kontinuierlich weiterzuentwickeln und neues Wissen zu erschließen. Ich fände es spannend zu wissen, ob du Freiheit eher als Abwesenheit von Zwängen oder als aktive Selbstbestimmung definierst. Was denkst du darüber?",100.0,5,0,16,
B2,Welche Rolle spielt Sprache in der Identitätsbildung?,"Das ist eine faszinierende Frage, da Sprache weit mehr ist als nur ein Kommunikationsmittel; sie prägt maßgeblich, wie wir die Welt wahrnehmen. Wenn man eine neue Sprache lernt, erschließt man sich oft auch eine neue Perspektive auf die eigene Identität und Kultur. Ich bin gespannt, ob du das Gefühl hast, in einer anderen Sprache eine leicht andere Persönlichkeit zu besitzen.",100.0,7,0,20,
B2,Diskutiere die Auswirkungen des Klimawandels.,"Das ist ein äußerst komplexes Thema, das uns alle betrifft. Meiner Meinung nach müssten wir weitaus konsequenter in erneuerbare Energien investieren, um die schlimmsten Folgen abzuwenden. Was glaubst du, welche Maßnahmen am effektivsten wären?",100.0,2,0,16,
