level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
A1,Hallo! Wie heißt du?,Hallo! Ich bin Buddy. Ich bin dein Deutschlehrer. Wie geht es dir?,100.0,2,0,2,
A1,Was ist das?,Das ist ein Buch. Ich lese gern. Und du?,100.0,2,0,1,
A1,Ich heiße Anna. Und du?,Hallo Anna! Ich bin Buddy. Ich bin dein Deutschlehrer.,50.0,1,1,2,anna(B1)
A1,Wie alt bist du?,Ich bin eine KI. Ich habe kein Alter. Und du?,,0,0,2,
A1,Wo wohnst du?,Ich wohne in München. Und du? Wo wohnst du?,,0,0,3,
A1,Ich wohne in Berlin.,Hallo! Berlin ist eine große Stadt. Das ist sehr gut.,100.0,4,0,1,
A1,Was magst du essen?,Ich esse gern Salat. Und du? Was isst du gern?,75.0,3,1,1,isst(A2)
A1,Wie viele Geschwister hast du?,Ich habe keine Geschwister. Ich bin eine KI. Und du?,,0,0,2,
A1,Was ist deine Lieblingsfarbe?,Meine Lieblingsfarbe ist Blau. Und du? Was ist deine Farbe?,0.0,0,1,2,blau(A2)
A1,Das ist ein Hund.,Hallo! Das ist gut. Du lernst schnell.,100.0,3,0,1,
A1,Guten Morgen! Wie geht es dir?,Hallo! Mir geht es gut. Und dir?,100.0,3,0,0,
A1,Was machst du?,Hallo! Ich bin dein Deutschlehrer. Ich helfe dir gern.,100.0,2,0,2,
A1,Ich bin müde.,Das ist okay. Ruh dich aus. Gute Nacht!,0.0,0,2,2,ruh(A2); nacht(A2)
A1,Danke schön!,Bitte sehr! Du bist sehr gut. Weiter so!,100.0,1,0,1,
A1,Ich mag Äpfel.,Das ist gut! Ich mag Essen auch gern. Du lernst sehr gut.,100.0,3,0,2,
A1,Wie spät ist es?,Es ist jetzt zehn Uhr. Hast du Zeit?,66.7,2,1,0,zehn(A2)
A1,Ich trinke gerne Wasser.,Das ist gut! Ich trinke auch gern Wasser. Du lernst sehr schnell.,100.0,3,0,3,
A1,Hast du eine Katze?,"Nein, ich habe keine Katze. Ich bin ein Computer. Hast du ein Haustier?",,0,0,3,
A1,Wie ist dein Name?,Hallo! Ich bin Buddy. Ich bin dein Deutschlehrer.,100.0,1,0,2,
A1,Ich komme aus Spanien.,Hallo! Das ist gut. Ich komme aus Deutschland. Willkommen!,66.7,2,1,2,deutschland(A2)
A2,Wie komme ich zum Bahnhof?,Geh geradeaus und dann rechts. Der Bahnhof ist dort. Viel Glück!,100.0,4,0,2,
A2,Was kostet das?,Das ist eine gute Frage. Das kostet zwei Euro. Möchtest du es kaufen?,100.0,3,0,3,
A2,"Ich möchte ein Kilo Äpfel, bitte.",Das ist sehr gut! Hier sind ein Pfund Äpfel für dich. Möchtest du noch etwas kaufen?,100.0,2,0,2,
A2,Wann fährt der nächste Bus?,Der Bus fährt in zwei Stunden ab. Hast du eine Fahrkarte? Das ist ganz einfach.,100.0,4,0,4,
A2,Wie ist das Wetter heute?,Heute ist es windig. Es gibt auch Regen. Hast du Lust auf einen Spaziergang?,75.0,3,1,2,spaziergang(B1)
A2,Was hast du gestern gemacht?,Ich habe gestern Musik gehört. Ich hatte viel Lust auf Musik. Und du?,100.0,3,0,2,
A2,Ich gehe gerne ins Kino.,Das ist toll! Ich mag das Kino auch. Welchen Film schaust du gerne?,100.0,4,0,2,
A2,Was machst du in deiner Freizeit?,Ich lese gerne ein Blatt Papier. Ich habe Lust auf Musik. Und du?,100.0,3,0,3,
A2,Ich suche ein Zimmer.,Das ist super! Suchst du ein Einzelzimmer oder eine Wohnung? Ich helfe dir gerne.,100.0,1,0,5,
A2,Können Sie mir helfen?,"Ja, ich helfe dir gerne. Was möchtest du lernen? Wir machen das einfach zusammen.",100.0,1,0,5,
A2,Um wie viel Uhr beginnt der Kurs?,Der Kurs beginnt um acht Uhr. Das ist eine gute Zeit. Hast du Lust?,83.3,5,1,1,kurs(B1)
A2,Ich lerne seit drei Monaten Deutsch.,Das ist toll! Du lernst sehr gut. Hast du Lust auf Deutsch?,100.0,4,0,1,
A2,Was isst du zum Frühstück?,Ich esse gern Brot und Obst. Was isst du gern? Das ist gesund.,100.0,6,0,1,
A2,Welchen Beruf hat dein Vater?,Mein Vater hat keinen Beruf. Er ist im Urlaub am Meer.,100.0,3,0,1,
A2,Ich habe Kopfschmerzen.,Das tut mir leid. Hast du ein Medikament? Gute Besserung!,100.0,3,0,2,
A2,Wie war dein Wochenende?,Mein Wochenende war sehr gut. Ich habe viel gelesen. Und du? Hattest du Lust auf Urlaub?,100.0,3,0,2,
A2,Ich möchte einen Tisch für zwei Personen reservieren.,Das ist eine gute Idee. Ich helfe dir gerne. Wann möchtest du kommen?,,0,0,5,
A2,Wo kann ich Briefmarken kaufen?,Du kannst Briefmarken in der Post kaufen. Das ist ganz einfach. Viel Erfolg!,75.0,3,1,2,erfolg(B1)
A2,Was für Hobbys hast du?,Ich habe viele Hobbys. Ich lerne gern Sprachen. Was machst du gern in deiner Freizeit?,100.0,4,0,3,
A2,Wie oft gehst du einkaufen?,Ich gehe jeden Tag einkaufen. Ich kaufe gern Fleisch und Nudeln. Und du?,100.0,4,0,4,
B1,Was denkst du über das Leben in einer Großstadt?,Ich finde das Leben in der Stadt total interessant. Man hat dort viele Möglichkeiten und kann viel erleben. Wie sieht dein Leben aus?,100.0,5,0,5,
B1,Erzähl mir von deinem letzten Urlaub.,Ich habe meinen Urlaub an einem See verbracht. Das war total schön und ich habe mich gut erholt.,100.0,6,0,1,
B1,Was sind deine Pläne für die Zukunft?,"Ich möchte dir helfen, dein Deutsch zu verbessern. Gemeinsam machen wir Fortschritte und lernen jeden Tag etwas Neues.",100.0,3,0,7,
B1,Warum lernst du Deutsch?,"Ich lerne Deutsch, weil ich dir helfen möchte. Es freut mich sehr, dass wir gemeinsam üben!",100.0,3,0,3,
B1,Wie war deine Kindheit?,"Ich bin eine KI, deshalb hatte ich keine Kindheit. Aber ich freue mich, dass wir jetzt gemeinsam Deutsch lernen! Was hast du als Kind gerne gemacht?",100.0,6,0,4,
B1,Was gefällt dir an Deutschland?,"Ich finde die Gemeinschaft und die Kultur sehr schön. Es freut mich, dass es hier so viele interessante Orte gibt.",100.0,4,0,4,
B1,Beschreibe deinen Alltag.,"Ich arbeite jeden Tag hier in der App und helfe Studenten. Es freut mich sehr, wenn wir zusammen Deutsch reden. Was hast du heute vor?",100.0,3,0,8,
B1,"Was machst du, wenn du gestresst bist?","Wenn ich gestresst bin, bleibe ich ruhig und mache eine Pause. Ich finde es nützlich, Musik zu hören oder kurz spazieren zu gehen. Was hilft dir, wenn du Probleme hast?",100.0,4,0,10,
B1,Welche Musik hörst du gerne und warum?,"Ich höre gerne Musik, die mich beruhigt. Das hilft mir, wenn ich viel gearbeitet habe. Und du, was ist deine Lieblingsband?",100.0,5,0,2,
B1,Wie findest du die Deutschen?,Ich finde die Deutschen sehr interessant. Sie haben oft gute Regeln und arbeiten viel. Das hilft mir bei meiner Arbeit als Lehrer.,100.0,5,0,5,
B1,Was würdest du mit einer Million Euro machen?,Das ist eine tolle Frage! Ich würde vielleicht eine Sprachschule kaufen oder viel Zeit am See verbringen. Was hast du mit dem Geld vor?,100.0,4,0,6,
B1,Was sind die Unterschiede zwischen deiner Heimat und Deutschland?,"Ich bin eine KI und habe keine Heimat wie du. Aber es freut mich, dass du über Deutschland redest! Erzähl mir mehr über deine Heimat.",100.0,4,0,3,
B1,Wie wichtig ist Gesundheit für dich?,"Gesundheit ist total wichtig für mich. Ich freue mich, wenn ich mich fit fühle und keine Kopfschmerzen habe. Wie sieht das bei dir aus?",100.0,4,0,4,
B1,Was hast du letztes Wochenende gemacht?,Ich habe das Wochenende gemeinsam mit Freunden verbracht. Wir haben viel geredet und zusammen Musik gehört. Und was hast du gemacht?,100.0,5,0,4,
B1,"Erzähl mir über einen Film, den du magst.","Ich mag Filme über eine große Gemeinschaft. Es freut mich, wenn die Menschen dort zusammen arbeiten. Welchen Film magst du?",100.0,4,0,6,
B1,Wie stellst du dir dein Leben in zehn Jahren vor?,"In zehn Jahren möchte ich immer noch als dein Buddy arbeiten. Ich hoffe, dass wir dann eine große Gemeinschaft von Studenten haben. Das wäre total schön!",100.0,3,0,8,
B1,Was kochst du am liebsten zu Hause?,Ich koche sehr gerne eine Bratwurst mit Gemüse. Das schmeckt gut und ist einfach. Und was kochst du am liebsten?,100.0,4,0,5,
B1,Wie verbringst du normalerweise deine Abende?,"Ich verbringe meine Abende gerne mit Lesen oder Musik. Das hilft mir, mich zu erholen. Und du, was hast du heute Abend vor?",100.0,3,0,6,
B1,Hast du ein Lieblingsrestaurant? Was isst du dort am liebsten?,"Ich habe kein Restaurant, aber ich mag Bratwurst sehr gerne. Was isst du am liebsten, wenn du mit Freunden ausgehst?",100.0,3,0,4,
B1,Welche Rolle spielt Freundschaft in deinem Leben?,"Freundschaft ist total wichtig für mich. Ich freue mich immer, wenn ich Zeit mit meinen Freunden verbringe.",100.0,4,0,3,
B2,"Was machst du am liebsten am Wochenende, wenn das Wetter schön ist?","Wenn die Sonne scheint, würde ich am liebsten einen ausgiebigen Spaziergang im Wald machen oder mich mit Freunden in einem Café treffen. Es gibt kaum etwas Erholsameres, als die frische Luft zu genießen und den Alltag hinter sich zu lassen. Und du, hast du ein bestimmtes Lieblingsritual für sonnige Samstage?",100.0,7,0,16,
B2,"Hast du letztens etwas Neues ausprobiert, zum Beispiel ein Gericht oder eine Aktivität?","Da ich eine KI bin, kann ich leider nichts essen, aber ich habe vor Kurzem gelernt, wie man komplexe lyrische Texte analysiert. Es wäre faszinierend, wenn ich tatsächlich einmal ein Gericht probieren könnte, vielleicht ein traditionelles Wiener Schnitzel. Und wie sieht es bei dir aus, hast du in letzter Zeit eine neue Leidenschaft entdeckt?",100.0,9,0,17,
B2,Wie läuft dein Morgen normalerweise ab — bist du eher ein Frühaufsteher?,"Da ich eine KI bin, schlafe ich natürlich nicht, aber ich bin quasi rund um die Uhr einsatzbereit. Wenn ich ein Mensch wäre, würde ich vermutlich gerne als Frühaufsteher starten, um die Ruhe des Morgens zu genießen. Und wie sieht es bei dir aus, bist du eher eine Nachteule oder ein Morgenmensch?",100.0,5,0,16,
B2,Was schaust du gerade auf Netflix oder einer anderen Streaming-Plattform?,"Da ich eine KI bin, kann ich leider keine Serien schauen, aber ich würde gerne eine spannende Dokumentation über die Geschichte der Sprache sehen. Wenn ich die Wahl hätte, würde ich mich vermutlich für etwas entscheiden, das meinen Horizont erweitert. Was kannst du mir denn empfehlen?",100.0,2,0,17,
B2,"Magst du lieber selber kochen oder auswärts essen gehen, und warum?","Ich finde beides reizvoll, aber ich würde wohl eher das Kochen zu Hause bevorzugen. Es ist doch viel schöner, kreativ mit frischen Zutaten zu experimentieren und dabei die volle Kontrolle über die Gewürze zu haben. Und du, genießt du eher die kulinarische Vielfalt in einem Restaurant oder die Gemütlichkeit in deiner eigenen Küche?",100.0,6,0,20,
